序号,证券代码,证券简称,自由流通市值(亿元),总市值(亿元),申万一级行业,在原来数据中的序号
91,002624.XSHE,完美世界,109.84,366.17,传媒,1157
92,002625.XSHE,光启技术,42.66,213.3,国防军工,1158
93,002673.XSHE,西部证券,134.3,268.59,非银金融,1206
94,002714.XSHE,牧原股份,179.85,599.5,农林牧渔,1245
95,002736.XSHE,国信证券,205.9,686.34,非银金融,1266
96,002773.XSHE,康弘药业,45.94,229.47,医药生物,1300
97,002797.XSHE,第一创业,113.9,189.83,非银金融,1322
98,002925.XSHE,盈趣科技,40.24,201.2,电子,1440
99,600000.XSHG,浦发银行,1150.6,2876.5,银行,1551
100,600004.XSHG,白云机场,103.98,207.97,交通运输,1552
101,600009.XSHG,上海机场,489.06,978.12,交通运输,1557
102,600010.XSHG,包钢股份,269.86,674.66,钢铁,1558
103,600011.XSHG,华能国际,324.65,1158.52,公用事业,1559
104,600015.XSHG,华夏银行,473.8,947.6,银行,1561
105,600016.XSHG,民生银行,1422.39,2508.73,银行,1562
106,600018.XSHG,上港集团,168.06,1200.4,交通运输,1564
107,600019.XSHG,宝钢股份,578.97,1447.41,钢铁,1565
108,600023.XSHG,浙能电力,192.99,643.31,公用事业,1569
109,600025.XSHG,华能水电,56.7,567,公用事业,1570
110,600027.XSHG,华电国际,154.77,468.49,公用事业,1572
111,600028.XSHG,中国石化,627.34,6114.1,石油石化,1573
112,600029.XSHG,南方航空,228.44,814.54,交通运输,1574
113,600030.XSHG,中信证券,1260.13,1939.92,非银金融,1575
114,600031.XSHG,三一重工,455.28,650.4,机械设备,1576
115,600036.XSHG,招商银行,2599.25,6355.4,银行,1580
116,600038.XSHG,中直股份,110.11,220.23,国防军工,1582
117,600048.XSHG,保利发展,841.26,1402.42,房地产,1584
118,600050.XSHG,中国联通,481.24,1604.14,通信,1585
119,600061.XSHG,国投资本,76,380.02,非银金融,1596
120,600066.XSHG,宇通客车,157.41,262.35,汽车,1600
121,600068.XSHG,葛洲坝,174.61,291.02,建筑装饰,1602
122,600085.XSHG,同仁堂,150.86,377.15,医药生物,1619
123,600089.XSHG,特变电工,252.21,252.21,电力设备,1623
124,600100.XSHG,同方股份,201.87,288.39,计算机,1633
125,600104.XSHG,上汽集团,934.79,3115.98,汽车,1637
126,600109.XSHG,国金证券,173.24,216.54,非银金融,1642
127,600111.XSHG,北方稀土,191.17,318.62,有色金属,1644
128,600115.XSHG,中国东航,186.36,687.21,交通运输,1648
129,600118.XSHG,中国卫星,102.4,204.81,国防军工,1651
130,600153.XSHG,建发股份,119.93,199.88,交通运输,1680
131,600157.XSHG,永泰能源,83.25,166.51,煤炭,1683
